Cell_name	Zvalue	Color	Cluster	BEX2	JUN
MGH36_P6_D08	NA	black	0	0	7.5011
MGH36_P6_D10	NA	black	0	0	7.7702
MGH36_P6_D11	NA	black	0	0	7.2029
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0	0
MGH36_P6_E04	NA	black	0	0	5.973
MGH36_P6_E05	NA	black	0	0	7.089
MGH36_P6_E06	NA	black	0	0	5.4604
MGH36_P6_E07	NA	black	0	0	3.7829
MGH36_P6_E08	NA	black	0	0	4.6528
MGH36_P6_E09	NA	black	0	0	5.842
MGH36_P6_E10	NA	black	0	0	5.2578
MGH36_P6_E11	NA	black	0	0	6.961
MGH36_P6_E12	NA	black	0	0	6.1263
MGH36_P6_F01	NA	black	0	0	0
MGH36_P6_F04	NA	black	0	0	1.111
MGH36_P6_F06	NA	black	0	0	5.9341
MGH36_P6_F07	NA	black	0	0	4.8592
MGH36_P6_F08	NA	black	0	0	0.098958
MGH36_P6_F10	NA	black	0	0	0
MGH36_P6_F12	NA	black	0	0	5.6781
MGH36_P6_G01	NA	black	0	0	5.3848
MGH36_P6_G02	NA	black	0	0	7.4255
MGH36_P6_G03	NA	black	0	0	7.2887
MGH36_P6_G04	NA	black	0	0	5.0971
MGH36_P6_G05	NA	black	0	0	6.1415
MGH36_P6_G06	NA	black	0	6.1117	0
MGH36_P6_G07	NA	black	0	0	4.9227
MGH36_P6_G08	NA	black	0	0	6.312
MGH36_P6_G09	NA	black	0	0	7.7329
MGH36_P6_G10	NA	black	0	0	5.5359
MGH36_P6_G11	NA	black	0	0	7.2432
MGH36_P6_G12	NA	black	0	0	7.1545
MGH36_P6_H06	NA	black	0	0	6.0605
MGH36_P6_H07	NA	black	0	0	0.3115
MGH36_P6_H10	NA	black	0	0	5.4051
MGH36_P6_H12	NA	black	0	0	6.0766
MGH36_P7_A01	NA	black	0	0	0
MGH36_P7_A02	NA	black	0	0	4.2813
MGH36_P7_A03	NA	black	0	0	7.9637
MGH36_P7_A04	NA	black	0	0	8.779
MGH36_P7_A06	NA	black	0	6.1824	0
MGH36_P7_A07	NA	black	0	0	0
MGH36_P7_A08	NA	black	0	0	0.57337
