Cell_name	Zvalue	Color	Cluster	CPT1A	PPARA
MGH36_P1_B07	-0.14068935979	green3	2	1.3561	0.17121
MGH36_P1_B08	-0.0949015317852	green3	2	0.16221	0.51197
MGH36_P1_B09	-1.03645224138	black	0	2.5281	0.0229
MGH36_P1_B10	NA	black	0	0.17249	0
MGH36_P1_B11	0.0344567630564	green3	2	0.97159	0.064883
MGH36_P1_B12	0.303434808734	green3	2	0.52507	0.04684
MGH36_P1_C01	0.4312584973	green3	2	0.18903	0.1003
MGH36_P1_C03	-2.42669131664	black	0	4.483	0.049631
MGH36_P1_C05	0.240949853837	green3	2	0.60027	0.075875
MGH36_P1_C06	-0.047815397581	green3	2	0.36065	0.49057
MGH36_P1_C07	0.577372720313	green3	2	0.048236	0.04684
